SERVICE_x,OPERATOR_x,AC_x,SEAT_x,TY_x,O/D_x,TROUND_x,DATETIME_x,SERVICE_y,SEAT_y,TY_y,O/D_y,DATETIME_y,TURN_MINUTES
BA1458,BA,320,168.0,J,LHR,BA 1455 ,2018-04-08 00:00:00,BA2937,169.0,J,LGW,2018-04-08 12:50:00,1085
LM358,LM,SF3,33.0,J,LSI,LM 335 A,2018-04-08 00:00:00,LM393,33.0,J,KOI,2018-04-08 09:15:00,840
LM394,LM,SF3,33.0,J,KOI,LM 391  ,2018-04-08 00:00:00,LM353A,34.0,J,LSI,2018-04-08 09:30:00,825
BA1462,BA,319,143.0,J,LHR,BA 2931 ,2018-04-08 00:00:00,BA2931,144.0,J,LGW,2018-04-08 05:40:00,550
LM775,LM,SF3,0.0,M,INV,LM 776 P,2018-04-08 00:00:00,LM397,33.0,J,KOI,2018-04-08 12:25:00,925
LM768,LM,SF3,0.0,M,ABZ,LM 769  ,2018-04-08 00:00:00,LM355,33.0,J,LSI,2018-04-08 12:45:00,920
BA2946,BA,319,144.0,J,LGW,        ,2018-04-08 00:00:00,BA1445,143.0,J,LHR,2018-04-08 12:55:00,910
NPT9H,NPT,73P,0.0,M,STN,NPT9   G,2018-04-08 00:00:00,NPT9G,0.0,M,STN,2018-04-09 00:00:00,1195
NPT12B,NPT,73Y,0.0,M,EMA,NPT10  J,2018-04-08 00:00:00,NPT10J,0.0,M,STN,2018-04-09 00:00:00,1255
NPT10K,NPT,73Y,0.0,M,STN,NPT12  A,2018-04-08 00:00:00,NPT12A,0.0,M,EMA,2018-04-09 00:00:00,1235
NPT4N,NPT,73P,0.0,M,EMA,NPT4   S,2018-04-08 00:00:00,NPT4S,0.0,M,EMA,2018-04-09 00:00:00,1270
3V25N,3V,73P,0.0,F,LGG,3V 26  H,2018-04-08 00:00:00,3V26H,0.0,F,LGG,2018-04-09 00:00:00,910
BA8702,BA,E90,98.0,J,LCY,BA 4507 ,2018-04-08 00:00:00,BA4507,98.0,C,CMF,2018-04-08 06:00:00,1295
BA2936,BA,319,144.0,J,LGW,BA 2937 ,2018-04-08 00:00:00,BA1459,143.0,J,LHR,2018-04-08 17:45:00,515
BA8704,BA,E70,76.0,J,LCY,BA 8713 ,2018-04-08 00:00:00,BA8713,76.0,J,LCY,2018-04-08 12:00:00,155
LM392,LM,SF3,33.0,J,KOI,LM 397  ,2018-04-08 00:00:00,LM335A,34.0,J,WIC,2018-04-08 13:05:00,160
LM354,LM,SF3,34.0,J,LSI,LM 343  ,2018-04-08 00:00:00,LM347,33.0,J,SYY,2018-04-08 13:45:00,140
BA1442,BA,319,143.0,J,LHR,BA 1445 ,2018-04-08 00:00:00,BA1463,143.0,J,LHR,2018-04-08 18:45:00,400
BA4502,BA,E90,98.0,C,VRN,BA 4505 ,2018-04-08 00:00:00,BA8701,98.0,J,LCY,2018-04-08 10:15:00,1315
BE846,BE,DH4,78.0,J,BHX,BE 2103 ,2018-04-08 00:00:00,BE2101,78.0,J,LHR,2018-04-08 05:20:00,995
EZY6978,EZY,320,186.0,J,SXF,EZY6985 ,2018-04-08 00:00:00,EZY6961,186.0,J,PRG,2018-04-08 05:00:00,920
EZY6964,EZY,320,186.0,J,JER,EZY6965 ,2018-04-08 00:00:00,EZY6993,186.0,J,MAD,2018-04-08 05:05:00,910
BE688,BE,DH4,78.0,J,BHD,BE 687  ,2018-04-08 00:00:00,BE843,78.0,J,BHX,2018-04-08 06:45:00,1005
LM398,LM,SF3,33.0,J,KOI,LM 393  ,2018-04-08 00:00:00,LM355A,33.0,J,LSI,2018-04-08 16:10:00,130
LM344,LM,SF3,34.0,J,SYY,LM 353 A,2018-04-08 00:00:00,LM399A,34.0,J,KOI,2018-04-08 16:55:00,125
BE211,BE,DH4,78.0,J,EXT,BE 851  ,2018-04-08 00:00:00,BE2103,78.0,J,LHR,2018-04-08 07:55:00,985
LS780,LS,73H,189.0,J,GVA,LS 779  ,2018-04-08 00:00:00,LS779,189.0,J,GVA,2018-04-08 06:45:00,835
BA4504,BA,E90,98.0,C,SZG,BA 8701 ,2018-04-08 00:00:00,BA8703,98.0,J,LCY,2018-04-08 12:15:00,1140
BE656,BE,DH4,78.0,J,NOC,BE 683  ,2018-04-08 00:00:00,BE683,78.0,J,BHD,2018-04-08 09:25:00,960
BA1454,BA,319,143.0,J,LHR,BA 1463 ,2018-04-08 00:00:00,BA2945,144.0,J,LGW,2018-04-08 20:20:00,150
BE771,BE,DH4,78.0,J,SOU,BE 655  ,2018-04-08 00:00:00,BE655,78.0,J,NOC,2018-04-08 09:35:00,900
LS728,LS,73H,189.0,J,TFS,LS 705  ,2018-04-08 00:00:00,LS705,189.0,J,ACE,2018-04-08 08:00:00,805
TOM1641,TOM,73H,189.0,C,INN,TOM1796 ,2018-04-08 00:00:00,TOM1796,189.0,C,PFO,2018-04-08 08:00:00,780
BE2108,BE,DH4,78.0,J,LHR,BE 1335 ,2018-04-08 00:00:00,BE764,78.0,J,SOU,2018-04-08 09:50:00,890
EZY811,EZY,320,180.0,J,LGW,EZY814  ,2018-04-08 00:00:00,EZY6991,186.0,J,NAP,2018-04-08 05:10:00,595
BA4506,BA,E90,98.0,C,CMF,BA 8705 ,2018-04-08 00:00:00,BA8705,98.0,J,LCY,2018-04-08 13:15:00,1080
LS866,LS,73C,148.0,J,SZG,LS 717  ,2018-04-08 00:00:00,LS717,148.0,J,PMI,2018-04-08 05:30:00,600
BE852,BE,DH4,78.0,J,BHX,BE 263  ,2018-04-08 00:00:00,BE1335,78.0,J,LCY,2018-04-08 09:50:00,860
FR818,FR,73H,189.0,J,DUB,FR 819  ,2018-04-08 00:00:00,FR6681,189.0,J,CIA,2018-04-08 05:25:00,580
EZY489,EZY,319,156.0,J,BFS,EZY6981 ,2018-04-08 00:00:00,EZY6981,156.0,J,LIS,2018-04-08 05:20:00,535
BA1462,BA,319,143.0,J,LHR,BA 2931 ,2018-04-08 00:00:00,BA2931,144.0,J,LGW,2018-04-09 00:00:00,545
FR2752,FR,73H,189.0,J,PSA,FR 6642 ,2018-04-08 00:00:00,FR6642,189.0,J,BTS,2018-04-08 05:40:00,550
KL1293,KL,73H,186.0,J,AMS,KL 1276 ,2018-04-08 00:00:00,KL1276,186.0,J,AMS,2018-04-08 05:00:00,505
LS858,LS,73C,148.0,J,AGP,LS 857  ,2018-04-08 00:00:00,LS857,148.0,J,AGP,2018-04-08 05:55:00,540
BA1460,BA,763,259.0,J,LHR,BA 1435 ,2018-04-08 00:00:00,BA1435,259.0,J,LHR,2018-04-08 05:55:00,530
AF1886,AF,32A,174.0,J,CDG,AF 1887 ,2018-04-08 00:00:00,AF1887,174.0,J,CDG,2018-04-08 04:55:00,440
FR6682,FR,73H,189.0,J,CIA,FR 7616 ,2018-04-08 00:00:00,FR7616,189.0,J,SDR,2018-04-08 05:55:00,500
EZY6908,EZY,319,156.0,J,GVA,EZY6955 ,2018-04-08 00:00:00,EZY6955,156.0,J,CDG,2018-04-08 12:25:00,885
BA2946,BA,319,144.0,J,LGW,        ,2018-04-08 00:00:00,BA1461,143.0,J,LHR,2018-04-09 00:00:00,525
EZY6986,EZY,320,186.0,J,SOF,EZY6993 ,2018-04-08 00:00:00,EZY6939,186.0,J,KRK,2018-04-08 05:40:00,435
LS724,LS,73C,148.0,J,NAP,LS 847  ,2018-04-08 00:00:00,LS847,148.0,J,DBV,2018-04-08 06:30:00,485
FR1060,FR,73H,189.0,J,SZZ,FR 6266 ,2018-04-08 00:00:00,FR6266,189.0,J,BCN,2018-04-08 06:00:00,445
FR6625,FR,73H,189.0,J,KRK,FR 6695 ,2018-04-08 00:00:00,FR6695,189.0,J,MLA,2018-04-08 06:30:00,470
FR6606,FR,73H,189.0,J,OPO,FR 6656 ,2018-04-08 00:00:00,FR6656,189.0,J,PMI,2018-04-08 06:35:00,470
EZY6990,EZY,319,156.0,J,ALC,EZY238  ,2018-04-08 00:00:00,EZY3386,156.0,J,VCE,2018-04-08 12:40:00,835
FR6622,FR,73H,189.0,J,TFS,FR 1064 ,2018-04-08 00:00:00,FR4524,189.0,J,WMI,2018-04-08 06:40:00,470
EZY6938,EZY,320,186.0,J,HER,EZY6991 ,2018-04-08 00:00:00,EZY6905,186.0,J,GVA,2018-04-08 06:00:00,425
FR6653,FR,73H,189.0,J,AGP,FR 4524 ,2018-04-08 00:00:00,FR1064,189.0,J,TLS,2018-04-08 06:40:00,465
EZY6930,EZY,320,186.0,J,DLM,EZY6939 ,2018-04-08 00:00:00,EZY6975,186.0,J,BIO,2018-04-08 06:00:00,390
EZY6946,EZY,320,186.0,J,PFO,EZY6905 ,2018-04-08 00:00:00,EZY6941,186.0,J,KEF,2018-04-08 06:05:00,380
EZY6966,EZY,320,186.0,J,ATH,EZY6975 ,2018-04-08 00:00:00,EZY2684,180.0,J,MXP,2018-04-08 08:30:00,520
LS706B,LS,73H,189.0,J,ACE,LS 727  ,2018-04-08 00:35:00,LS727,189.0,J,TFS,2018-04-08 08:00:00,445
EZS6917,EZS,320,186.0,J,BSL,EZS6918 ,2018-04-08 06:10:00,EZS6918,186.0,J,BSL,2018-04-08 06:35:00,25
AA278,AA,75W,176.0,J,JFK,AA 279  ,2018-04-08 06:10:00,AA279,176.0,J,JFK,2018-04-08 09:10:00,180
EY27,EY,332,262.0,J,AUH,EY 28   ,2018-04-08 06:20:00,EY28,262.0,J,AUH,2018-04-08 08:05:00,105
FR812,FR,73H,189.0,J,DUB,FR 813  ,2018-04-08 06:35:00,FR813,189.0,J,DUB,2018-04-08 07:00:00,25
UA36,UA,75W,169.0,J,EWR,UA 39   ,2018-04-08 06:45:00,UA39,169.0,J,EWR,2018-04-08 08:15:00,90
EI3250,EI,AT7,72.0,J,DUB,EI 3251 ,2018-04-08 06:55:00,EI3251,72.0,J,DUB,2018-04-08 07:20:00,25
AF1686,AF,318,131.0,J,CDG,AF 1687 ,2018-04-08 07:00:00,AF1687,131.0,J,CDG,2018-04-08 07:45:00,45
EI3806,EI,AT7,70.0,J,ORK,EI 3675 ,2018-04-08 07:20:00,EI3675,70.0,J,SNN,2018-04-08 07:50:00,30
KL1277,KL,73W,142.0,J,AMS,KL 1278 ,2018-04-08 07:25:00,KL1278,142.0,J,AMS,2018-04-08 08:10:00,45
EZY2683,EZY,320,180.0,J,MXP,EZY2684 ,2018-04-08 08:00:00,EZY6921,180.0,J,AMS,2018-04-08 10:45:00,165
EI3550,EI,AT7,72.0,J,DUB,EI 3551 ,2018-04-08 08:00:00,EI3551,72.0,J,DUB,2018-04-08 08:30:00,30
D81605,D8,7M8,189.0,J,PVD,D8 1640 ,2018-04-08 08:05:00,D81640,189.0,J,OSL,2018-04-08 10:25:00,140
DY4463,DY,73H,186.0,J,ARN,DY 4464 ,2018-04-08 08:10:00,DY4464,186.0,J,ARN,2018-04-08 08:40:00,30
SK4601,SK,736,123.0,J,OSL,SK 4602 ,2018-04-08 09:05:00,SK4602,123.0,J,OSL,2018-04-08 09:45:00,40
BA1438,BA,763,259.0,J,LHR,BA 1443 ,2018-04-08 09:15:00,BA1443,259.0,J,LHR,2018-04-08 10:55:00,100
FR5578,FR,73H,189.0,J,ALC,FR 5579 ,2018-04-08 09:15:00,FR5579,189.0,J,ALC,2018-04-08 09:50:00,35
WW860,WW,321,200.0,J,KEF,WW 861  ,2018-04-08 09:20:00,WW861,200.0,J,KEF,2018-04-08 11:00:00,100
BE2102,BE,DH4,78.0,J,LHR,BE 764  ,2018-04-08 09:25:00,BE263,78.0,J,EMA,2018-04-08 10:45:00,80
EZY6922,EZY,320,180.0,J,AMS,EZY6921 ,2018-04-08 10:10:00,EZY6995,186.0,J,MAD,2018-04-08 11:00:00,50
EI3252,EI,AT7,72.0,J,DUB,EI 3253 ,2018-04-08 10:10:00,EI3253,72.0,J,DUB,2018-04-08 10:35:00,25
EW362,EW,32A,180.0,J,CGN,EW 363  ,2018-04-08 10:15:00,EW363,180.0,J,CGN,2018-04-08 10:50:00,35
EZY6962,EZY,320,186.0,J,PRG,EZY6995 ,2018-04-08 10:15:00,EZY234,186.0,J,STN,2018-04-08 11:30:00,75
LH962,LH,321,195.0,J,FRA,LH 963  ,2018-04-08 11:00:00,LH963,195.0,J,FRA,2018-04-08 11:45:00,45
FR7617,FR,73H,189.0,J,SDR,FR 7834 ,2018-04-08 11:05:00,FR7834,189.0,J,BZR,2018-04-08 11:55:00,50
EZY6906,EZY,320,186.0,J,GVA,EZY234  ,2018-04-08 11:05:00,EZY6977,186.0,J,SXF,2018-04-08 12:10:00,65
SK2541,SK,73H,181.0,J,ARN,SK 2542 ,2018-04-08 11:15:00,SK2542,181.0,J,ARN,2018-04-08 11:55:00,40
EZY6976,EZY,320,186.0,J,BIO,EZY6907 ,2018-04-08 11:30:00,EZY6907,186.0,J,GVA,2018-04-08 12:25:00,55
EZY6942,EZY,320,186.0,J,KEF,EZY6977 ,2018-04-08 11:30:00,EZY806,186.0,J,LGW,2018-04-08 12:40:00,70
EI3672,EI,AT7,70.0,J,SNN,EI 3805 ,2018-04-08 11:30:00,EI3805,70.0,J,ORK,2018-04-08 12:00:00,30
EZY6994,EZY,320,186.0,J,MAD,EZY6923 ,2018-04-08 11:35:00,EZY6923,186.0,J,AMS,2018-04-08 12:55:00,80
BE684,BE,DH4,78.0,J,BHD,BE 687  ,2018-04-08 11:35:00,BE687,78.0,J,BHD,2018-04-08 12:10:00,35
EZY6940,EZY,320,186.0,J,KRK,EZY490  ,2018-04-08 11:40:00,EZY808,186.0,J,LGW,2018-04-08 14:35:00,175
BA4508,BA,E90,98.0,C,CMF,BA 8703 ,2018-04-08 11:45:00,BA8719,98.0,J,LCY,2018-04-08 18:55:00,430
KL1281,KL,E90,100.0,J,AMS,KL 1282 ,2018-04-08 11:45:00,KL1282,100.0,J,AMS,2018-04-08 12:15:00,30
TO3628,TO,73H,189.0,J,ORY,TO 3629 ,2018-04-08 11:55:00,TO3629,189.0,J,ORY,2018-04-08 12:35:00,40
FR1065,FR,73H,189.0,J,TLS,FR 1078 ,2018-04-08 11:55:00,FR1109,189.0,J,EIN,2018-04-08 12:45:00,50
FR6643,FR,73H,189.0,J,BTS,FR 6605 ,2018-04-08 11:55:00,FR8421,189.0,J,FUE,2018-04-08 12:50:00,55
BE2104,BE,DH4,78.0,J,LHR,BE 766  ,2018-04-08 12:00:00,BE766,78.0,J,SOU,2018-04-08 12:30:00,30
BA2936,BA,320,169.0,J,LGW,BA 2937 ,2018-04-08 12:05:00,BA1453,168.0,J,LHR,2018-04-08 14:35:00,150
BA1442,BA,319,143.0,J,LHR,BA 1445 ,2018-04-08 12:05:00,BA2937,144.0,J,LGW,2018-04-09 00:00:00,1215
EZY6982,EZY,319,156.0,J,LIS,EZY6983 ,2018-04-08 12:10:00,EZY238,156.0,J,STN,2018-04-08 13:45:00,95
EZY3385,EZY,319,156.0,J,VCE,EZY3386 ,2018-04-08 12:10:00,EZY482,156.0,J,BFS,2018-04-08 14:05:00,115
LM394,LM,SF3,33.0,J,KOI,LM 355  ,2018-04-08 12:10:00,LM357,33.0,J,LSI,2018-04-08 17:10:00,300
FR6682,FR,73H,189.0,J,CIA,FR 1109 ,2018-04-08 12:10:00,FR817,189.0,J,DUB,2018-04-08 13:10:00,60
QR29,QR,359,283.0,J,DOH,QR 30   ,2018-04-08 12:15:00,QR30,283.0,J,DOH,2018-04-08 14:40:00,145
EZY6992,EZY,320,186.0,J,NAP,EZY806  ,2018-04-08 12:20:00,EZY16,186.0,J,LTN,2018-04-08 14:40:00,140
FR6267,FR,73H,189.0,J,BCN,FR 8421 ,2018-04-08 12:25:00,FR1054,189.0,J,PRG,2018-04-08 13:25:00,60
LS718,LS,73C,148.0,J,PMI,LS 815  ,2018-04-08 12:30:00,LS787,148.0,J,BUD,2018-04-08 14:30:00,120
FR4525,FR,73H,189.0,J,WMI,FR 817  ,2018-04-08 12:35:00,FR2684,189.0,J,STN,2018-04-08 13:40:00,65
LS780,LS,73H,189.0,J,GVA,LS 797  ,2018-04-08 12:45:00,LS797,189.0,J,PFO,2018-04-08 14:25:00,100
FR816,FR,73H,189.0,J,DUB,FR 1054 ,2018-04-08 12:45:00,FR1078,189.0,J,HAM,2018-04-08 13:45:00,60
BE4503,BE,E95,118.0,J,CWL,BE 4504 ,2018-04-08 12:50:00,BE4504,118.0,J,CWL,2018-04-08 13:20:00,30
BE846,BE,DH4,78.0,J,BHX,BE 294  ,2018-04-08 13:10:00,BE1341,78.0,J,LCY,2018-04-08 13:55:00,45
LM354A,LM,SF3,33.0,J,LSI,LM 347  ,2018-04-08 13:10:00,LM351,33.0,J,LSI,2018-04-09 00:00:00,1035
